year,month,day,hour,pm2.5,DEWP,TEMP,PRES,wind speed,hours of rain
2012,1,23,9,66,-20,-8,1030,0.89,0
2012,1,23,10,33,-22,-6,1030,1.78,0
2012,1,23,11,36,-24,-3,1029,8.05,0
2012,1,23,12,27,-23,-2,1028,16.1,0
2012,1,23,13,27,-24,-2,1027,23.25,0
2012,1,23,14,20,-24,-2,1026,30.4,0
2012,1,23,15,32,-23,-1,1026,37.55,0
2012,1,23,16,24,-23,-1,1025,44.7,0
2012,1,23,17,13,-23,-2,1026,49.62,0
2012,1,23,18,24,-22,-3,1026,52.75,0
2012,1,23,19,88,-23,-6,1027,55.88,0
2012,1,23,20,103,-23,-8,1027,57.67,0
2012,1,23,21,200,-23,-10,1027,60.8,0
2012,1,23,22,157,-23,-10,1028,63.93,0
2012,1,23,23,97,-21,-8,1028,0.89,0
2012,1,24,0,79,-22,-7,1028,1.79,0
2012,1,24,1,14,-22,-9,1028,3.58,0
2012,1,24,2,12,-21,-7,1028,7.6,0
2012,1,24,3,10,-21,-7,1028,12.52,0
2012,1,24,4,8,-22,-7,1028,17.44,0
2012,1,24,5,6,-22,-7,1028,23.25,0
2012,1,24,6,8,-22,-7,1029,29.06,0
2012,1,24,7,11,-22,-8,1029,33.08,0
2012,1,24,8,9,-21,-7,1029,37.1,0
2012,1,24,9,7,-22,-5,1030,41.12,0
2012,1,24,10,10,-22,-4,1030,44.25,0
2012,1,24,11,12,-22,-4,1029,48.27,0
2012,1,24,12,13,-22,-2,1028,52.29,0
2012,1,24,13,13,-23,-2,1027,59.44,0
2012,1,24,14,11,-23,-1,1026,66.59,0
2012,1,24,15,16,-23,-1,1026,73.74,0
2012,1,24,16,15,-23,0,1025,78.66,0
2012,1,24,17,12,-25,-6,1026,1.79,0
2012,1,24,18,9,-25,-6,1026,1.79,0
2012,1,24,19,18,-25,-8,1027,4.92,0
2012,1,24,20,25,-24,-6,1027,0.89,0
2012,1,24,21,37,-22,-9,1027,1.78,0
2012,1,24,22,85,-22,-9,1027,2.67,0
2012,1,24,23,73,-21,-11,1027,3.12,0
2012,1,25,0,33,-23,-13,1027,1.79,0
2012,1,25,1,45,-22,-11,1026,2.68,0
2012,1,25,2,61,-23,-12,1026,3.57,0
2012,1,25,3,66,-22,-13,1026,0.45,0
2012,1,25,4,50,-22,-13,1025,1.79,0
2012,1,25,5,37,-22,-14,1024,3.58,0
2012,1,25,6,42,-23,-16,1024,6.71,0
2012,1,25,7,43,-21,-15,1024,0.89,0
2012,1,25,8,48,-21,-15,1025,1.78,0
2012,1,25,9,44,-20,-8,1024,2.67,0
2012,1,25,10,50,-21,-6,1024,3.56,0
2012,1,25,11,52,-20,-4,1023,4.45,0
2012,1,25,12,51,-19,-1,1022,5.34,0
2012,1,25,13,47,-21,0,1021,3.13,0
2012,1,25,14,51,-22,2,1020,4.92,0
2012,1,25,15,47,-22,2,1020,12.97,0
2012,1,25,16,43,-21,2,1020,22.8,0
2012,1,25,17,39,-21,1,1020,26.82,0
2012,1,25,18,60,-18,0,1021,4.02,0
2012,1,25,19,69,-18,0,1021,8.04,0
2012,1,25,20,93,-17,0,1021,12.06,0
2012,1,25,21,127,-17,-1,1022,15.19,0
2012,1,25,22,122,-19,-8,1022,3.13,0
2012,1,25,23,156,-18,-7,1022,0.89,0
2012,1,26,0,176,-19,-10,1022,1.79,0
2012,1,26,1,169,-19,-11,1022,3.58,0
2012,1,26,2,166,-18,-10,1022,0.89,0
2012,1,26,3,151,-19,-11,1022,1.79,0
2012,1,26,4,113,-19,-12,1021,3.58,0
2012,1,26,5,77,-20,-13,1022,5.37,0
2012,1,26,6,80,-19,-14,1022,7.16,0
2012,1,26,7,80,-19,-13,1022,0.89,0
2012,1,26,8,62,-17,-10,1023,3.13,0
2012,1,26,9,47,-17,-8,1023,0.89,0
2012,1,26,10,55,-17,-3,1023,1.78,0
2012,1,26,11,70,-19,1,1021,2.67,0
2012,1,26,12,79,-19,2,1020,3.56,0
2012,1,26,13,66,-19,3,1019,1.79,0
2012,1,26,14,67,-18,3,1018,3.58,0
2012,1,26,15,77,-19,3,1018,5.37,0
2012,1,26,16,84,-19,3,1018,9.39,0
2012,1,26,17,87,-16,0,1018,12.52,0
2012,1,26,18,115,-17,-2,1019,0.45,0
2012,1,26,19,111,-16,-5,1020,1.34,0
2012,1,26,20,125,-16,-5,1020,2.23,0
2012,1,26,21,158,-17,-8,1021,3.12,0
2012,1,26,22,227,-16,-7,1021,3.13,0
2012,1,26,23,192,-16,-6,1022,0.89,0
2012,1,27,0,113,-17,-3,1023,4.92,0
2012,1,27,1,51,-18,-2,1023,10.73,0
2012,1,27,2,25,-19,-4,1024,12.52,0
2012,1,27,3,18,-19,-5,1024,0.89,0
2012,1,27,4,40,-20,-9,1024,0.89,0
2012,1,27,5,139,-17,-10,1025,0.89,0
2012,1,27,6,162,-16,-10,1026,1.78,0
2012,1,27,7,95,-21,-9,1027,1.79,0
2012,1,27,8,8,-21,-5,1028,4.02,0
2012,1,27,9,21,-21,-4,1029,8.94,0
2012,1,27,10,20,-20,-2,1029,1.79,0
2012,1,27,11,29,-19,0,1029,2.68,0
2012,1,27,12,24,-20,0,1029,3.57,0
2012,1,27,13,23,-22,1,1027,5.36,0
2012,1,27,14,36,-19,1,1026,3.13,0
2012,1,27,15,76,-18,0,1026,6.26,0
2012,1,27,16,84,-18,0,1026,9.39,0
2012,1,27,17,75,-17,-2,1026,11.18,0
2012,1,27,18,93,-16,-2,1027,12.07,0
2012,1,27,19,103,-16,-4,1027,12.96,0
2012,1,27,20,128,-15,-6,1028,16.09,0
2012,1,27,21,158,-13,-6,1028,19.22,0
2012,1,27,22,124,-11,-6,1029,22.35,0
2012,1,27,23,122,-10,-6,1029,26.37,0
2012,1,28,0,74,-11,-8,1030,0.89,0
2012,1,28,1,51,-11,-7,1030,1.78,0
2012,1,28,2,58,-12,-7,1030,1.79,0
2012,1,28,3,59,-12,-6,1030,3.58,0
2012,1,28,4,69,-12,-6,1030,5.37,0
2012,1,28,5,67,-11,-6,1030,0.45,0
2012,1,28,6,69,-11,-6,1030,0.89,0
2012,1,28,7,63,-11,-6,1030,1.78,0
2012,1,28,8,60,-11,-6,1031,0.89,0
2012,1,28,9,72,-10,-5,1031,1.79,0
2012,1,28,10,75,-10,-4,1031,0.89,0
2012,1,28,11,79,-10,-3,1030,1.78,0
2012,1,28,12,82,-9,-3,1030,1.79,0
2012,1,28,13,79,-9,-2,1029,0.89,0
2012,1,28,14,76,-9,-2,1029,1.78,0
2012,1,28,15,87,-9,-2,1029,2.67,0
2012,1,28,16,91,-9,-2,1029,3.12,0
2012,1,28,17,88,-9,-3,1029,4.01,0
2012,1,28,18,96,-9,-4,1030,4.9,0
2012,1,28,19,103,-10,-6,1031,5.79,0
2012,1,28,20,129,-10,-7,1031,6.24,0
2012,1,28,21,132,-11,-7,1032,7.13,0
2012,1,28,22,159,-12,-10,1033,0.89,0
2012,1,28,23,164,-13,-11,1033,2.68,0
2012,1,29,0,170,-12,-9,1033,4.47,0
2012,1,29,1,165,-16,-7,1033,8.49,0
2012,1,29,2,68,-17,-8,1033,12.51,0
2012,1,29,3,44,-18,-9,1034,4.02,0
2012,1,29,4,25,-20,-7,1034,3.13,0
2012,1,29,5,15,-20,-8,1034,7.15,0
2012,1,29,6,14,-21,-8,1034,11.17,0
2012,1,29,7,14,-21,-9,1035,14.3,0
2012,1,29,8,13,-20,-8,1036,3.13,0
2012,1,29,9,12,-20,-6,1036,3.13,0
2012,1,29,10,23,-20,-4,1036,6.26,0
2012,1,29,11,19,-21,-2,1036,8.05,0
2012,1,29,12,18,-21,-1,1034,0.89,0
2012,1,29,13,20,-21,-1,1033,1.79,0
2012,1,29,14,20,-21,0,1032,3.58,0
2012,1,29,15,31,-23,0,1032,1.79,0
2012,1,29,16,35,-19,-1,1032,2.68,0
2012,1,29,17,46,-19,-2,1032,1.79,0
2012,1,29,18,38,-19,-4,1033,2.68,0
2012,1,29,19,49,-17,-6,1033,3.57,0
2012,1,29,20,47,-18,-5,1034,5.36,0
2012,1,29,21,69,-17,-4,1034,8.49,0
2012,1,29,22,76,-16,-4,1034,11.62,0
2012,1,29,23,87,-15,-5,1035,15.64,0
2012,1,30,0,91,-15,-8,1035,17.43,0
2012,1,30,1,73,-13,-8,1035,19.22,0
2012,1,30,2,77,-13,-8,1035,22.35,0
2012,1,30,3,109,-13,-8,1034,24.14,0
2012,1,30,4,81,-13,-8,1034,25.93,0
2012,1,30,5,89,-13,-7,1034,27.72,0
2012,1,30,6,91,-12,-7,1034,0.45,0
2012,1,30,7,91,-12,-8,1034,0.9,0
2012,1,30,8,84,-12,-7,1034,1.35,0
2012,1,30,9,99,-12,-7,1034,2.24,0
2012,1,30,10,112,-11,-7,1033,1.79,0
2012,1,30,11,127,-11,-6,1032,3.58,0
2012,1,30,12,133,-9,-6,1031,5.37,0
2012,1,30,13,133,-8,-5,1029,7.16,0
2012,1,30,14,129,-7,-5,1028,0.89,0
2012,1,30,15,134,-8,-4,1028,1.78,0
2012,1,30,16,135,-8,-4,1027,2.67,0
2012,1,30,17,138,-9,-5,1027,3.56,0
2012,1,30,18,155,-10,-7,1027,0.89,0
2012,1,30,19,157,-9,-7,1027,1.78,0
2012,1,30,20,147,-9,-7,1027,2.67,0
2012,1,30,21,151,-8,-5,1026,3.56,0
2012,1,30,22,152,-8,-5,1026,5.35,0
2012,1,30,23,142,-8,-5,1025,7.14,0
2012,1,31,0,132,-8,-5,1024,0.45,0
2012,1,31,1,139,-8,-5,1024,1.79,0
2012,1,31,2,150,-8,-5,1024,4.92,0
2012,1,31,3,150,-8,-5,1023,8.05,0
2012,1,31,4,143,-9,-7,1022,9.84,0
2012,1,31,5,144,-10,-8,1021,11.63,0
2012,1,31,6,154,-10,-8,1021,14.76,0
2012,1,31,7,152,-10,-7,1022,18.78,0
2012,1,31,8,147,-10,-5,1023,4.02,0
2012,1,31,9,141,-12,-4,1024,8.94,0
2012,1,31,10,135,-17,-3,1024,14.75,0
2012,1,31,11,58,-19,-3,1024,21.9,0
2012,1,31,12,14,-21,-2,1024,27.71,0
2012,1,31,13,19,-23,-1,1023,32.63,0
2012,1,31,14,22,-23,-1,1023,37.55,0
2012,1,31,15,23,-25,-2,1024,43.36,0
2012,1,31,16,18,-27,-2,1025,47.38,0
2012,1,31,17,17,-26,-3,1026,52.3,0
2012,1,31,18,14,-27,-5,1027,56.32,0
2012,1,31,19,13,-27,-5,1028,61.24,0
2012,1,31,20,13,-28,-7,1029,65.26,0
2012,1,31,21,18,-28,-7,1030,70.18,0
2012,1,31,22,8,-28,-8,1031,74.2,0
2012,1,31,23,9,-28,-8,1032,80.01,0
2012,2,1,0,15,-27,-10,1033,85.82,0
2012,2,1,1,14,-28,-10,1034,5.81,0
2012,2,1,2,13,-27,-11,1034,4.92,0
2012,2,1,3,9,-27,-11,1034,9.84,0
2012,2,1,4,11,-27,-11,1034,14.76,0
2012,2,1,5,12,-27,-13,1034,18.78,0
2012,2,1,6,11,-27,-13,1034,20.57,0
2012,2,1,7,13,-28,-12,1036,23.7,0
2012,2,1,8,13,-27,-11,1036,4.02,0
2012,2,1,9,13,-27,-8,1037,12.07,0
2012,2,1,10,14,-27,-7,1037,20.12,0
2012,2,1,11,14,-26,-6,1037,23.25,0
2012,2,1,12,14,-26,-6,1036,4.02,0
2012,2,1,13,12,-25,-6,1035,8.04,0
2012,2,1,14,13,-24,-5,1035,11.17,0
2012,2,1,15,16,-25,-5,1035,14.3,0
2012,2,1,16,16,-24,-5,1035,16.09,0
2012,2,1,17,17,-24,-6,1035,17.88,0
2012,2,1,18,23,-24,-8,1036,0.89,0
2012,2,1,19,25,-23,-9,1037,0.89,0
2012,2,1,20,39,-24,-8,1038,2.68,0
2012,2,1,21,52,-23,-8,1038,6.7,0
2012,2,1,22,42,-24,-9,1039,10.72,0
2012,2,1,23,24,-24,-9,1040,15.64,0
2012,2,2,0,24,-25,-11,1041,4.02,0
2012,2,2,1,30,-24,-9,1041,11.17,0
2012,2,2,2,13,-24,-9,1041,16.09,0
2012,2,2,3,10,-24,-10,1041,21.01,0
2012,2,2,4,8,-24,-10,1041,26.82,0
2012,2,2,5,7,-25,-10,1041,30.84,0
2012,2,2,6,6,-25,-10,1041,37.99,0
2012,2,2,7,9,-25,-11,1041,43.8,0
2012,2,2,8,11,-25,-10,1041,47.82,0
2012,2,2,9,16,-25,-8,1041,52.74,0
2012,2,2,10,13,-25,-7,1040,57.66,0
2012,2,2,11,16,-26,-4,1039,62.58,0
2012,2,2,12,14,-26,-4,1037,69.73,0
2012,2,2,13,17,-25,-4,1036,75.54,0
2012,2,2,14,14,-24,-2,1034,3.13,0
2012,2,2,15,13,-24,-2,1033,3.13,0
2012,2,2,16,18,-25,-3,1033,1.79,0
2012,2,2,17,24,-24,-5,1032,0.89,0
2012,2,2,18,39,-24,-5,1032,1.78,0
2012,2,2,19,57,-24,-5,1032,2.67,0
2012,2,2,20,69,-23,-5,1031,3.56,0
2012,2,2,21,75,-23,-10,1031,4.45,0
2012,2,2,22,82,-23,-11,1031,5.34,0
2012,2,2,23,92,-23,-12,1031,6.23,0
2012,2,3,0,64,-23,-12,1030,0.89,0
2012,2,3,1,61,-24,-14,1030,4.02,0
2012,2,3,2,40,-24,-15,1029,7.15,0
2012,2,3,3,60,-23,-14,1029,8.94,0
2012,2,3,4,68,-23,-14,1028,12.07,0
2012,2,3,5,68,-24,-13,1027,13.86,0
2012,2,3,6,63,-24,-14,1026,16.99,0
2012,2,3,7,63,-24,-16,1026,20.12,0
2012,2,3,8,60,-23,-12,1026,24.14,0
2012,2,3,9,52,-23,-8,1026,27.27,0
2012,2,3,10,49,-22,-5,1025,30.4,0
2012,2,3,11,59,-22,-3,1024,32.19,0
2012,2,3,12,60,-24,1,1023,1.79,0
2012,2,3,13,52,-23,3,1022,4.02,0
2012,2,3,14,50,-23,4,1021,13.85,0
2012,2,3,15,76,-25,4,1021,25.03,0
2012,2,3,16,66,-26,4,1021,33.97,0
2012,2,3,17,72,-25,3,1021,39.78,0
2012,2,3,18,82,-22,-1,1022,1.79,0
2012,2,3,19,100,-21,-3,1023,0.89,0
2012,2,3,20,129,-21,-6,1024,0.89,0
2012,2,3,21,147,-21,-6,1025,1.78,0
2012,2,3,22,114,-22,-4,1026,1.79,0
2012,2,3,23,50,-24,-4,1026,4.92,0
2012,2,4,0,14,-25,-4,1027,10.73,0
2012,2,4,1,16,-24,-5,1027,15.65,0
2012,2,4,2,9,-25,-6,1027,21.46,0
2012,2,4,3,9,-25,-7,1028,3.13,0
